City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Camana,PE,-16.6228,-72.7111,69.94,72,79,10.78,broken clouds
305,Mantua,IT,45.1667,10.7833,87.04,51,34,1.99,scattered clouds
306,Urdoma,RU,61.7533,48.5442,33.35,93,100,8.52,light snow
307,Tromso,NO,69.6496,18.957,48.22,76,75,3.44,broken clouds
308,Broome,US,42.2506,-75.833,88.47,59,4,11.01,clear sky
309,Vanavara,RU,60.34,102.2797,45.25,85,100,10.02,light rain
310,Palembang,ID,-2.9167,104.7458,77.09,94,40,4.61,haze
311,Camacha,PT,33.0833,-16.3333,67.42,64,20,13.8,few clouds
312,La Tuque,CA,47.4334,-72.7824,63.34,98,100,3.53,overcast clouds
313,Bereda,ES,43.2686,-7.5406,80.42,44,100,3.33,overcast clouds
314,Boa Vista,BR,2.8197,-60.6733,75.18,88,100,12.66,heavy intensity rain
315,Najran,SA,17.4924,44.1277,92.05,10,18,4.05,few clouds
316,Saint-Francois,FR,46.4154,3.9054,83.68,54,0,9.22,clear sky
317,Ilulissat,GL,69.2167,-51.1,33.82,80,75,0.0,broken clouds
318,Male,MV,4.1748,73.5089,84.15,84,75,12.66,broken clouds
319,Dingle,PH,10.9995,122.6711,78.22,86,74,2.55,broken clouds
320,Port Hedland,AU,-20.3167,118.5667,73.45,100,18,4.61,few clouds
321,Douglas,US,41.3,-96.167,50.61,66,100,9.22,overcast clouds
322,Coruripe,BR,-10.1256,-36.1756,76.87,85,88,15.14,overcast clouds
323,Eenhana,NA,-17.4667,16.3333,60.76,16,0,5.86,clear sky
324,Goedereede,NL,51.8175,3.9806,66.06,61,87,5.01,overcast clouds
325,Nishihara,JP,26.1842,127.7558,72.68,83,75,5.75,broken clouds
326,Kilrush,IE,52.6397,-9.4833,65.95,72,91,17.56,overcast clouds
327,Arlit,NE,18.7369,7.3853,100.51,12,53,9.89,broken clouds
328,Balikpapan,ID,-1.2675,116.8289,77.99,94,20,0.0,few clouds
329,Atkinson,US,42.8384,-71.147,79.36,75,40,5.01,scattered clouds
330,Simpang,ID,-1.2667,104.0833,74.17,92,48,2.17,scattered clouds
331,Monte Alegre,BR,-2.0078,-54.0692,83.64,63,42,2.57,scattered clouds
332,Alofi,NU,-19.0595,-169.9187,66.09,100,63,1.14,broken clouds
333,Jackson,US,42.4165,-122.8345,55.15,64,0,1.99,clear sky
334,Kahului,US,20.8947,-156.47,76.84,83,0,4.0,clear sky
335,Avondale,US,33.4356,-112.3496,82.87,31,0,0.0,clear sky
336,Batticaloa,LK,7.7102,81.6924,83.14,67,65,10.49,broken clouds
337,Katsuura,JP,35.1333,140.3,60.82,92,100,11.7,light rain
338,Thompson,CA,55.7435,-97.8558,42.96,31,20,13.8,few clouds
339,Tambura,SS,5.6,27.4667,71.31,95,98,5.53,overcast clouds
340,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,57,4,8.05,clear sky
341,Meulaboh,ID,4.1363,96.1285,79.02,85,100,2.53,moderate rain
342,Tripoli,LY,32.8752,13.1875,71.74,43,0,12.3,clear sky
343,Jagannathpur,IN,22.2333,85.65,89.67,38,79,13.51,broken clouds
344,Neiafu,TO,-18.65,-173.9833,68.68,100,20,0.0,few clouds
345,Vuktyl,RU,63.8567,57.3094,40.12,76,100,8.41,overcast clouds
